iter	Passed	Remaining
0	76	32576
1	144	30546
2	242	34259
3	282	29854
4	344	28976
5	414	29016
6	511	30605
7	580	30347
8	633	29342
9	662	27573
10	719	27163
11	785	27083
12	851	27063
13	908	26745
14	974	26711
15	1004	25733116	1082	26031117	1154	26165
18	1236	26479
19	1312	26652
20	1385	26727
21	1456	26744
22	1549	27142
23	1640	27480
24	1727	27703
25	1828	28133
26	1857	27455227	1937	27536228	2038	27905
29	2112	27887
30	2214	28212
31	2320	28574
32	2397	28548
33	2485	28651
34	2561	28610
35	2591	28074
36	2661	27986
37	2732	27904
38	2788	27674
39	2856	27568
40	2926	27481
41	2971	27171442	3006	26777443	3065	26610444	3149	26664445	3241	26779446	3322	26793
47	3407	26832448	3484	26806
49	3534	26578550	3612	26564551	3687	26524
52	3752	26411
53	3812	26262
54	3838	25892555	3913	25854556	3979	25758557	4050	25697558	4115	25601559	4224	25769
60	4251	25437661	4329	25417662	4397	25336663	4475	25312664	4551	25279665	4630	25258
66	4684	25102667	4955	2608768	4848	25086
69	4929	25068
70	5019	25096
71	5135	25251
72	5166	24984
73	5252	24984
74	5418	25358
75	5500	25331
76	5600	25382
77	5688	25380
78	5747	25245
79	5840	25262
80	5899	25125
81	5970	25045
82	6085	25150
83	6171	25127
84	6242	25043
85	6268	24782
86	6327	24655
87	6398	24575
88	6486	24559
89	6562	24499
90	6656	24505
91	6683	24263
92	6777	24266
93	6848	24188
94	6926	24134
95	7018	24127
96	7074	23993
97	7139	23896
98	7202	23789
99	7372	24034
1100	7558	24321101	7599	24140
102	7668	24047
103	7752	24003
104	7832	23945
105	7961	24035
106	8198	24441
107	8358	24611
108	8521	24782
109	8629	24789
110	8757	24853
111	8829	24752
112	8929	24733
113	9024	24699
114	9102	24616
115	9217	24634
116	9292	24542
117	9355	24419
118	9440	24354
119	9503	24235
120	9608	24219
121	9636	24011
122	9775	24081
123	9806	23884
124	9967	24000
125	10055	23942
126	10130	23851
127	10205	23759
128	10269	23644
129	10336	23536
130	10475	23590
131	10535	23466
132	10703	23579
133	10770	23470
134	10836	23358
135	10917	23280
136	11154	23529
137	11367	23724
138	11504	23754
139	11565	23625
140	11678	23604
141	11830	23660
142	11953	23655
143	12048	23595
144	12215	23673
145	12316	23620
146	12466	23660
147	12561	23594
148	12699	23610
149	12812	23575
150	12960	23603
151	13145	23695
152	13289	23711
153	13367	23610
154	13483	23574
155	13572	23490
156	13644	23378
157	13716	23266
158	13772	23126
159	13844	23016
160	13888	22860
161	13938	22715
162	13985	22565
163	14080	22494
164	14160	22398
165	14220	22272
166	14290	22162
167	14331	22008
168	14372	21855
169	14423	21720
170	14485	21601
171	14529	21456
172	14567	21304
173	14594	21136
174	14628	20982
175	14663	20829
176	14696	20674
177	14731	20524
178	14764	20373
179	14791	20215
180	14820	20060
181	14888	19959
182	14938	19836
183	14988	19712
184	15023	19570
185	15067	19442
186	15124	19330
187	15177	19213
188	15207	19069
189	15230	18917
190	15256	18770
191	15281	18623
192	15309	18482
193	15351	18358
194	15373	18211
195	15394	18065
196	15423	17928
197	15449	17789
198	15472	17649
199	15493	17507
200	15516	17369
201	15540	17233
202	15569	17103
203	15591	16966
204	15613	16832
205	15634	16697
206	15658	16566
207	15683	16437
208	15706	16307
209	15723	16172
210	15745	16043
211	15767	15916
212	15790	15790
213	15812	15665
214	15833	15538
215	15854	15414
216	15876	15291
217	15902	15173
218	15924	15051
219	15949	14934
220	15971	14814
221	15990	14693
222	16015	14579
223	16035	14460
224	16060	14347
225	16086	14235
226	16107	14121
227	16129	14007
228	16149	13893
229	16171	13780
230	16191	13668
231	16213	13557
232	16237	13449
233	16257	13339
234	16280	13231
235	16302	13125
236	16324	13018
237	16343	12910
